timestamp_s,read_mib_s
0.0251,589.0
0.0503,279.7
0.0754,282.2
0.1005,0.0
0.1256,0.0
0.1508,5.0
0.1759,0.0
0.2010,0.0
0.2261,0.0
0.2513,0.0
0.2764,0.0
0.3016,4.7
0.3268,137.2
0.3519,49.2
0.3771,0.0
0.4022,0.0
0.4273,4.4
0.4524,1.7
0.4776,0.0
0.5027,43.1
0.5279,207.7
0.5530,103.2
0.5782,0.0
0.6033,6.5
0.6284,0.0
0.6536,67.7
0.6788,1.6
0.7040,0.0
0.7293,0.0
0.7545,0.0
0.7797,0.0
0.8049,0.0
0.8300,422.9
0.8554,2605.0
0.8806,2712.8
0.9057,2755.2
0.9309,2753.5
0.9560,2744.5
0.9811,2765.0
1.0063,2762.6
1.0315,2762.9
1.0566,2792.6
1.0818,2802.8
1.1069,2802.9
1.1320,2796.2
1.1572,2786.3
1.1823,2793.1
1.2075,2753.3
1.2326,2763.2
1.2578,2701.7
1.2830,2625.7
1.3081,2530.7
1.3334,2601.2
1.3585,2568.1
1.3837,2601.9
1.4088,2579.7
1.4340,2614.7
1.4591,2584.4
1.4843,2541.1
1.5094,2602.3
1.5346,2591.8
1.5597,2591.4
1.5849,2546.4
1.6100,2570.5
1.6352,2492.2
1.6603,2601.6
1.6855,2530.6
1.7107,1935.4
1.7359,0.0
1.7612,0.0
1.7864,0.0
1.8116,0.0
1.8369,0.0
1.8621,0.0
1.8873,0.0
1.9126,0.0
1.9378,0.0
1.9629,0.0
1.9881,0.0
2.0134,0.0
2.0386,0.0
2.0638,0.0
2.0891,0.0
2.1143,0.0
2.1396,0.0
2.1648,0.0
2.1901,0.0
2.2154,0.0
2.2406,0.0
2.2659,0.0
2.2912,0.0
2.3165,0.0
2.3417,0.0
2.3670,4.8
2.3922,0.0
2.4175,0.0
2.4427,0.0
2.4680,0.0
2.4932,0.0
2.5185,0.0
2.5437,0.0
2.5689,0.0
2.5941,5.9
2.6192,0.0
2.6443,0.0
2.6695,0.0
2.6947,943.5
2.7198,2950.2
2.7450,2912.0
2.7702,2642.6
2.7954,3263.1
2.8207,3188.0
2.8459,3099.0
2.8711,2877.8
2.8963,3385.4
2.9215,3366.3
2.9467,3186.7
2.9719,3112.8
2.9971,2991.3
3.0223,2823.8
3.0475,2649.9
3.0727,2732.0
3.0979,2816.3
3.1232,2612.6
3.1484,2734.2
3.1736,2809.3
3.1988,2886.2
3.2240,2831.4
3.2493,2869.9
3.2744,2927.8
3.2997,2975.1
3.3249,2960.1
