second,read_mib_s
0,466.8
1,1917.5
2,956.0
3,2668.8
4,3186.2
5,3177.1
6,3275.7
7,3305.4
8,3124.6
9,3261.0
10,3145.9
11,3201.3
12,3049.9
13,3140.3
14,3045.9
15,3163.4
16,3071.0
17,3325.4
18,3187.5
19,3179.4
20,3132.4
21,3156.1
22,3067.9
23,3109.6
24,3048.6
25,3213.5
26,2993.5
27,3286.9
28,3154.4
29,2994.0
30,3131.1
31,3116.6
32,3144.8
33,3109.3
34,3172.4
35,3116.1
36,3201.3
37,3122.2
38,3223.6
39,2966.6
40,3103.0
41,3053.9
42,3173.4
43,3045.5
44,3121.1
45,3093.8
46,2980.8
47,3143.9
48,3032.2
49,3199.0
50,3060.0
51,3161.2
52,3053.4
53,3124.7
54,3038.9
55,3297.3
56,3078.0
57,3296.2
58,3002.8
59,3143.4
60,3079.0
61,3162.3
62,2949.2
63,3054.6
64,3107.8
65,3046.7
66,3268.7
67,3124.5
68,3189.0
69,3029.0
70,3056.7
71,3103.4
72,3197.6
73,3046.6
74,3236.1
75,3084.1
76,3289.3
77,2970.0
78,3171.0
79,3091.6
80,3128.5
81,3198.5
82,3093.6
83,3034.5
84,3078.2
85,3049.4
86,3093.7
87,3074.0
88,3213.6
89,3096.3
90,3063.9
91,3105.0
92,3041.0
93,3134.8
94,3024.9
95,3110.4
96,3022.2
97,3139.4
98,2986.3
99,3086.4
100,3000.1
101,3088.9
102,2980.2
103,3160.7
104,3063.3
105,3127.3
106,3002.6
107,3141.2
108,3218.9
109,3058.6
110,3139.4
111,3083.9
112,3105.4
113,3053.7
114,3158.3
115,2987.6
116,3117.9
117,3119.8
118,3247.6
119,3075.8
120,3000.8
121,3073.8
122,2999.7
123,3147.3
124,3103.4
125,3110.0
126,3028.8
127,3277.3
128,3093.8
129,3123.0
130,3107.5
131,3238.1
132,3169.6
133,3133.7
134,3032.8
135,3173.5
136,3039.6
137,3116.7
138,3202.2
139,3088.9
140,3182.6
141,3100.2
142,3299.9
143,3029.9
144,3132.4
145,3047.7
146,3201.7
147,3068.2
148,3083.0
149,2986.7
150,3146.6
151,2995.5
152,3105.2
153,3081.6
154,3020.2
155,3294.4
156,3036.4
157,3145.9
158,3032.9
159,3133.8
160,3212.2
161,3315.6
162,3146.4
163,3249.3
164,3174.4
165,3035.8
166,3087.6
167,3040.9
168,3042.6
169,2978.9
170,3295.8
171,3203.2
172,3145.2
173,3055.5
174,3119.0
175,3088.4
176,3375.2
177,3065.7
178,3141.0
179,3021.2
180,3190.5
181,2968.8
182,3120.4
183,3110.4
184,3185.9
185,3114.4
186,3134.6
187,3172.5
188,3155.3
189,3249.7
190,3040.7
191,2987.4
192,3008.0
193,3298.4
194,2993.1
195,3152.5
196,3108.8
197,3056.3
198,3193.4
199,3125.9
200,3105.7
201,3205.2
202,3036.4
203,3206.0
204,3077.1
205,3103.6
206,3077.6
207,3146.8
208,3111.7
209,3092.7
210,3172.9
211,3133.7
212,3202.4
213,3060.0
214,3136.2
215,3123.0
216,3119.6
217,3030.2
218,3062.0
219,3282.2
220,3030.8
221,3091.8
222,3173.4
223,3214.5
224,3096.6
225,3117.6
226,3024.2
227,3160.9
228,3060.7
229,3168.4
230,3205.9
231,3120.2
232,2987.7
233,3108.6
234,3097.3
235,3130.1
236,3081.4
237,3044.5
238,3094.0
239,3129.5
240,3097.3
241,3254.9
242,3057.7
243,3106.2
244,3119.4
245,3175.8
246,3275.0
247,3140.6
248,3211.2
249,3095.9
250,3154.1
251,3159.5
252,3219.2
253,3071.0
254,3060.4
255,3257.4
256,3017.7
257,3060.1
258,3021.9
259,3115.7
260,3146.2
261,3010.0
262,3179.1
263,3073.1
264,3103.6
265,3031.2
266,3097.0
267,3140.9
268,3107.0
269,3059.8
270,3101.8
271,3004.7
272,3132.3
273,3139.8
274,3230.0
275,3196.6
276,2971.8
277,3184.9
278,3036.7
279,3115.7
280,3050.0
281,3174.9
282,3098.2
283,3096.2
284,3098.0
285,3175.7
286,3177.0
287,3079.0
288,3090.0
289,3086.2
290,3045.7
291,3185.6
292,3219.5
293,3313.6
294,3025.5
295,3211.1
296,3126.6
297,2990.3
298,3160.0
299,2985.4
300,3181.9
301,3194.2
302,3111.5
303,3159.9
304,3202.8
305,3019.7
306,3092.6
307,3078.9
308,3237.0
309,3042.6
310,3163.7
311,3119.1
312,3106.6
313,3048.0
314,3062.7
315,2976.6
316,3115.9
317,3171.5
318,2971.7
319,3252.5
320,3047.4
321,3057.7
322,3014.7
323,3101.5
324,2992.0
325,3068.5
326,3128.3
327,3152.5
328,2974.8
329,3045.0
330,2990.5
331,3132.6
332,3099.8
333,3094.0
334,3080.3
335,3080.0
336,3109.7
337,3007.3
338,3084.9
339,2999.8
340,3104.9
341,3064.6
342,3194.7
343,3002.3
344,3098.3
345,3038.1
346,3162.3
347,3120.2
348,2999.0
349,3212.5
350,3044.4
351,3077.6
352,3178.9
353,3160.9
354,3124.5
355,3139.7
356,3009.3
357,3111.9
358,3048.3
359,3263.5
360,3187.4
361,3132.1
362,3139.6
363,3024.5
364,3108.9
365,3154.0
366,3202.5
367,3053.2
368,3350.8
369,3008.3
